Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
,,TOTAL UNIDADES TERMINADAS,,,,,,,3816,1803.0,0.46297946450389027,4286,1987.0,0.45555188703914923,4538,1771.0,0.6056095633765322,5713,2583.0,0.46410047501191365,4667,2676.0,0.6651384234100611,0,0.0,0,,,,23020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL KILOS TERMINADOS,,,,,,,2316.282,1072.391,,2504.7970000000005,1141.065,,3298.082,1997.35,,2927.2950000000005,1358.559,,2376.585,1580.7580000000003,,0,0.0,,,,,13423.041000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VALORIZACIÓN,,,,,,,6337172.4,3111778.66,,6584763.300000001,2944151.8,,8590790.09,5024412.92,,7786646.268000001,3490277.8000000003,,6361709.76,3851266.5300000003,,0,0.0,,,,,35661081.817999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,H/H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SEMANA N°,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.9751847302794,,176.6373056958338,,176.06784893768588,,170.5572127171311,,147.12206064285067,,0,,,,,,,,,,,,,,,,,,,,,
ITEM,MAQ,PRODUCTO,OT,PROCESO,PESO,STD DÍA,FABRICAR,SALDO,LUNES,,%,MARTES,,%,MIERCOLES,,%,JUEVES,,%,VIERNES,,%,SABADO,,%,N° OP,Hrs,hrs,LUNES,,MARTES,,MIERCOLES,,JUEVES,,VIERNES,,SABADO,,$ KG,T,STD HORA,STD PRO,,SALDO,FABRICADO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TIJERA UNI,"Barra Ojo 5/8x1,80mtrs",,CORTAR,3.037,1890,350,350,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,210,,"Barra Ojo 5/8x1,80mtrsCORTAR",350,0,,,,,,,,,,,,,
2,PF #1,"Barra Ojo 5/8x1,80mtrs",,ESTAMC,3.037,396,350,350,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,44,,"Barra Ojo 5/8x1,80mtrsESTAMC",350,0,,,,,,,,,,,,,
3,EX #15,"Barra Ojo 5/8x1,80mtrs",,REBARE,3.037,1125,350,350,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,125,,"Barra Ojo 5/8x1,80mtrsREBARE",350,0,,,,,,,,,,,,,
4,EX #15,"Barra Ojo 5/8x1,80mtrs",,REBARI,3.037,1125,350,350,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,125,,"Barra Ojo 5/8x1,80mtrsREBARI",350,0,,,,,,,,,,,,,
5,PUNT PER,"Barra Ojo 5/8x1,80mtrs",,PUPER ,3.037,990,350,350,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,110,,"Barra Ojo 5/8x1,80mtrsPUPER ",350,0,,,,,,,,,,,,,
6,TERR #4,"Barra Ojo 5/8x1,80mtrs",,TERRAJAR,3.037,675,350,350,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,75,,"Barra Ojo 5/8x1,80mtrsTERRAJAR",350,0,,,,,,,,,,,,,
7,TIJERA #2,"Tirafondo Nº2, 7/8x149",STOCK,CORTAR,0.552,4590,10511,4544,2000,2255.0,1.1275,1375,840.0,0.610909090909091,2000,1682.0,0.841,2000,0.0,0,1510,1190.0,0.7880794701986755,,0.0,,1,,,,3.9215686274509802,LG,2.696078431372549,,3.9215686274509802,,3.9215686274509802,,2.9607843137254903,,0.0,,P,510,,"Tirafondo Nº2, 7/8x149CORTAR",1626,5967,,,,,,,,,,,,,
8,PF #12,"Tirafondo Nº2, 7/8x149",STOCK,ESTAMC,0.552,1881,12177,4523,1881,1548.0,0.8229665071770335,1881,1549.0,0.823498139287613,1881,1459.0,0.7756512493354598,1881,1550.0,0.8240297713981924,1650,1548.0,0.9381818181818182,,0.0,,2,,,,18.0,BS-FL,18.0,,18.0,,18.0,,15.789473684210526,,0.0,,P,209,,"Tirafondo Nº2, 7/8x149ESTAMC",3003,7654,,,,,,,,,,,,,
9,EX #14,"Tirafondo Nº2, 7/8x149",STOCK,REBARP,0.552,2547,15489,7985,1881,1000.0,0.531632110579479,1681,1160.0,0.6900654372397382,1681,2064.0,1.2278405710886378,1881,1570.0,0.834662413609782,1581,1710.0,1.081593927893738,,0.0,,1,,,,6.646643109540636,EL,5.939929328621908,,5.939929328621908,,6.646643109540636,,5.586572438162544,,0.0,,P,283,,"Tirafondo Nº2, 7/8x149REBARP",6784,7504,,,,,,,,,,,,,
10,PUNT TIR,"Tirafondo Nº2, 7/8x149",STOCK,PUTIR,0.552,1800,16321,8923,1800,1800.0,1,1800,1611.0,0.895,1800,806.0,0.4477777777777778,1800,1570.0,0.8722222222222222,1600,1611.0,1.006875,,0.0,,1,,,,9.0,LC,9.0,,9.0,,9.0,,8.0,,0.0,,P,200,,"Tirafondo Nº2, 7/8x149PUTIR",7521,7398,,,,,,,,,,,,,
11,LAMIN TIR,"Tirafondo Nº2, 7/8x149",STOCK,LAMINAR,0.552,1989,16261,8814,1881,1550.0,0.8240297713981924,1881,1550.0,0.8240297713981924,1881,1300.0,0.6911217437533227,1881,1547.0,0.822434875066454,1650,1500.0,0.9090909090909091,,0.0,,2,,,,17.02262443438914,FV-CB,17.02262443438914,,17.02262443438914,,17.02262443438914,,14.93212669683258,,0.0,2000,T,221,,"Tirafondo Nº2, 7/8x149LAMINAR",7087,7447,,,,,,,,,,,,,
12,TIJERA #1,"Grillete recto 14mm, perf.18",,CORTAR,0.322,4050,0,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,450,,"Grillete recto 14mm, perf.18CORTAR",0,0,,,,,,,,,,,,,
13,PF #4,"Grillete recto 14mm, perf.18",,ESTAC1,0.322,1332,765,309,765,146.0,0.19084967320261437,620,310.0,0.5,309,0.0,0,309,0.0,0,,0.0,,,0.0,,1,,,,5.168918918918919,,4.1891891891891895,,2.0878378378378377,,2.0878378378378377,,0.0,,0.0,,P,148,,"Grillete recto 14mm, perf.18ESTAC1",-1238,456,,,,,,,,,,,,,
14,PF #4,"Grillete recto 14mm, perf.18",,ESTAC2,0.322,1458,1465,365,540,770.0,1.4259259259259258,695,0.0,0,695,330.0,0.4748201438848921,365,0.0,0,360,0.0,0,,0.0,,1,,,,3.3333333333333335,,4.290123456790123,,4.290123456790123,,2.253086419753086,,2.2222222222222223,,0.0,,P,162,,"Grillete recto 14mm, perf.18ESTAC2",-1190,1100,,,,,,,,,,,,,
15,EX #17,"Grillete recto 14mm, perf.18",,REBARE,0.322,2160,1465,355,,0.0,,770,50.0,0.06493506493506493,1415,1005.0,0.7102473498233216,410,55.0,0.13414634146341464,360,0.0,0,,0.0,,1,,,,0.0,,3.2083333333333335,,5.895833333333333,,1.7083333333333333,,1.5,,0.0,,P,240,,"Grillete recto 14mm, perf.18REBARE",-1490,1110,,,,,,,,,,,,,
16,EX #15,"Grillete recto 14mm, perf.18",,PERFOR,0.322,2025,1465,363,,0.0,,,0.0,,1465,486.0,0.331740614334471,979,616.0,0.6292134831460674,360,0.0,0,,0.0,,1,,,,0.0,,0.0,,6.511111111111111,,4.351111111111111,,1.6,,0.0,,P,225,,"Grillete recto 14mm, perf.18PERFOR",-1339,1102,,,,,,,,,,,,,
17,PF #11,"Grillete recto 14mm, perf.18",,PLANCHAR,0.322,1845,1465,372,,0.0,,,0.0,,1465,110.0,0.07508532423208192,979,983.0,1.0040858018386107,360,0.0,0,,0.0,,1,,,,0.0,,0.0,,7.146341463414634,,4.775609756097561,,1.7560975609756098,,0.0,,P,205,,"Grillete recto 14mm, perf.18PLANCHAR",-1339,1093,,,,,,,,,,,,,
18,PF #5,"Grillete recto 14mm, perf.18",,FORJAR,0.322,774,1465,620,,0.0,,,0.0,,545,180.0,0.3302752293577982,774,440.0,0.5684754521963824,680,225.0,0.33088235294117646,,0.0,,1,,,,0.0,TC,0.0,,6.337209302325581,,9.0,,7.906976744186046,,0.0,2881,T,86,,"Grillete recto 14mm, perf.18FORJAR",-534,845,,,,,,,,,,,,,
19,MAQ LASER,Soporte Susp. p/DAC Preensamblado,,CORTAR,0.34,1422,285,285,285,0.0,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,1.8037974683544304,,0.0,,0.0,,0.0,,0.0,,0.0,,P,158,,Soporte Susp. p/DAC PreensambladoCORTAR,0,0,,,,,,,,,,,,,
20,PF #2,Soporte Susp. p/DAC Preensamblado,,ACANAL,0.34,1800,1200,284,1200,0.0,0,1200,916.0,0.7633333333333333,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,6.0,EL,6.0,,0.0,,0.0,,0.0,,0.0,,P,200,,Soporte Susp. p/DAC PreensambladoACANAL,-1200,916,,,,,,,,,,,,,
21,TIJERA #1,Soporte Susp. p/DAC Preensamblado,,CORTG1,0.34,5400,0,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,600,,Soporte Susp. p/DAC PreensambladoCORTG1,0,0,,,,,,,,,,,,,
22,TIJERA #1,Soporte Susp. p/DAC Preensamblado,,CORTG2,0.34,5400,0,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,600,,Soporte Susp. p/DAC PreensambladoCORTG2,0,0,,,,,,,,,,,,,
23,PF #11,Soporte Susp. p/DAC Preensamblado,,DOBLAF1,0.34,2250,0,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,250,,Soporte Susp. p/DAC PreensambladoDOBLAF1,0,0,,,,,,,,,,,,,
24,PF #11,Soporte Susp. p/DAC Preensamblado,,DOBLAF2,0.34,2250,0,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,250,,Soporte Susp. p/DAC PreensambladoDOBLAF2,0,0,,,,,,,,,,,,,
25,SOLD MIG #1,Soporte Susp. p/DAC Preensamblado,,SOLDAR,0.34,315,1200,1200,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,EB,0.0,,0.0,,0.0,,0.0,,0.0,5000,T,35,,Soporte Susp. p/DAC PreensambladoSOLDAR,1200,0,,,,,,,,,,,,,
26,EX #12,Soporte Extension ADSS GV 240x50x8MM,STOCK,CORTPE,0.58,2520,1448,1448,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,280,,Soporte Extension ADSS GV 240x50x8MMCORTPE,1448,0,,,,,,,,,,,,,
27,PF #13,Soporte Extension ADSS GV 240x50x8MM,STOCK,ESTAMC,0.58,504,3830,3830,504,0.0,0,504,0.0,0,504,0.0,0,504,0.0,0,450,0.0,0,,0.0,,1,,,,9.0,,9.0,,9.0,,9.0,,8.035714285714286,,0.0,2500,T,56,,Soporte Extension ADSS GV 240x50x8MMESTAMC,1364,0,,,,,,,,,,,,,
28,ESMERIL,Soporte Extension ADSS GV 240x50x8MM,STOCK,ESMERIL,0.58,810,3830,3830,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,90,,Soporte Extension ADSS GV 240x50x8MMESMERIL,3830,0,,,,,,,,,,,,,
29,TIJERA #2,Eslabón Angular Estampado perf.18,,CORTAR,0.453,1845,0,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,205,,Eslabón Angular Estampado perf.18CORTAR,0,0,,,,,,,,,,,,,
30,PF #1,Eslabón Angular Estampado perf.18,,ESTAMC,0.453,342,550,550,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,VH,0.0,,0.0,,0.0,,0.0,,0.0,,P,38,,Eslabón Angular Estampado perf.18ESTAMC,550,0,,,,,,,,,,,,,
31,EX #15,Eslabón Angular Estampado perf.18,STOCK,REBARE,0.453,1530,550,-5,450,555.0,1.2333333333333334,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,2.6470588235294117,,0.0,,0.0,,0.0,,0.0,,0.0,,P,170,,Eslabón Angular Estampado perf.18REBARE,100,555,,,,,,,,,,,,,
32,EX #15,Eslabón Angular Estampado perf.18,STOCK,PERFRE,0.453,1440,550,-5,450,0.0,0,550,555.0,1.009090909090909,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,2.8125,,3.4375,,0.0,,0.0,,0.0,,0.0,,P,160,,Eslabón Angular Estampado perf.18PERFRE,-450,555,,,,,,,,,,,,,
33,EX #15,Eslabón Angular Estampado perf.18,STOCK,PERFOV,0.453,1440,550,-5,450,0.0,0,550,0.0,0,350,0.0,0,550,555.0,1.009090909090909,,0.0,,,0.0,,1,,,,2.8125,,3.4375,,2.1875,,3.4375,,0.0,,0.0,,P,160,,Eslabón Angular Estampado perf.18PERFOV,-1350,555,,,,,,,,,,,,,
34,PF #2,Eslabón Angular Estampado perf.18,STOCK,DOBLAF,0.453,3447,550,-5,450,0.0,0,550,0.0,0,,0.0,,550,555.0,1.009090909090909,,0.0,,,0.0,,1,,,,1.174934725848564,,1.4360313315926894,,0.0,,1.4360313315926894,,0.0,,0.0,2600,T,383,,Eslabón Angular Estampado perf.18DOBLAF,-1000,555,,,,,,,,,,,,,
35,PERNSA CH,PEINETA DISUASIVA         10004698 1 X 1    ,,CORT 25X3,2.65,1980,277,277,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,220,,PEINETA DISUASIVA         10004698 1 X 1    CORT 25X3,277,0,,,,,,,,,,,,,
36,PRENSA CH,PEINETA DISUASIVA         PLET 25X5X210    ,,CORT 25X5,0.0218,3519,554,554,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,391,,PEINETA DISUASIVA         PLET 25X5X210    CORT 25X5,554,0,,,,,,,,,,,,,
37,EX #15,PEINETA DISUASIVA         PLET 25X5X210    ,,PERF 25X5,0.0218,2700,1000,1000,,0.0,,750,0.0,0,,0.0,,350,0.0,0,1000,0.0,0,,0.0,,1,,,,0.0,,2.5,,0.0,,1.1666666666666667,,3.3333333333333335,,0.0,,P,300,,PEINETA DISUASIVA         PLET 25X5X210    PERF 25X5,-1100,0,,,,,,,,,,,,,
38,EX #17,PEINETA DISUASIVA         PLET 25X5X210    ,,DOBL 25X5,0.0218,1350,1000,1000,,0.0,,750,0.0,0,,0.0,,350,0.0,0,650,0.0,0,,0.0,,1,,,,0.0,,5.0,,0.0,,2.3333333333333335,,4.333333333333333,,0.0,,P,150,,PEINETA DISUASIVA         PLET 25X5X210    DOBL 25X5,-750,0,,,,,,,,,,,,,
39,MIG #2,PEINETA DISUASIVA         PLET 25X5X210    ,,SOLD M8,0.0218,315,1354,1354,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,35,,PEINETA DISUASIVA         PLET 25X5X210    SOLD M8,1354,0,,,,,,,,,,,,,
40,TIJERA #1,PEINETA DISUASIVA         PUA 300    ,,CORT PUA300,0.07,5400,8724,8724,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,600,,PEINETA DISUASIVA         PUA 300    CORT PUA300,8724,0,,,,,,,,,,,,,
41,ESMERIL #1,PEINETA DISUASIVA         PUA 300    ,,ESME PUA300,0.07,1620,7084,7084,,0.0,,,0.0,,,0.0,,,0.0,,990,0.0,0,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,5.5,,0.0,,P,180,,PEINETA DISUASIVA         PUA 300    ESME PUA300,6094,0,,,,,,,,,,,,,
42,TIJERA #1,PEINETA DISUASIVA         PUA 150,,CORT PUA150,0.035,5400,3955,3955,,0.0,,,0.0,,,0.0,,,0.0,,1200,0.0,0,,0.0,,1,,,,0.0,LG,0.0,,0.0,,0.0,,2.0,,0.0,,P,600,,PEINETA DISUASIVA         PUA 150CORT PUA150,2755,0,,,,,,,,,,,,,
43,ESMERIL #1,PEINETA DISUASIVA         PUA 150,,ESME PUA150,0.035,1620,7090,7090,,0.0,,,0.0,,,0.0,,,0.0,,450,0.0,0,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,2.5,,0.0,,P,180,,PEINETA DISUASIVA         PUA 150ESME PUA150,6640,0,,,,,,,,,,,,,
44,MIG #1,PEINETA DISUASIVA         10004698 1 X 1    ,,SOLDAR,2.65,45,658,658,,0.0,,,0.0,,,0.0,,,0.0,,40,0.0,0,,0.0,,2,,,,0.0,,0.0,,0.0,,0.0,,16.0,,0.0,6805,T,5,,PEINETA DISUASIVA         10004698 1 X 1    SOLDAR,618,0,,,,,,,,,,,,,
45,TIJERA #2,"Espiga 3/4x155x210 caps.1"" Poliamida",STOCK,CORTAR,0.507,4050,0,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,LG,0.0,,0.0,,0.0,,0.0,,0.0,,P,450,,"Espiga 3/4x155x210 caps.1"" PoliamidaCORTAR",0,0,,,,,,,,,,,,,
46,PF #6,"Espiga 3/4x155x210 caps.1"" Poliamida",STOCK,ESTAMC,0.507,1017,0,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,113,,"Espiga 3/4x155x210 caps.1"" PoliamidaESTAMC",0,0,,,,,,,,,,,,,
47,EX #14,"Espiga 3/4x155x210 caps.1"" Poliamida",STOCK,REBARES,0.507,2250,0,0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,EL,0.0,,0.0,,0.0,,0.0,,0.0,,P,250,,"Espiga 3/4x155x210 caps.1"" PoliamidaREBARES",0,0,,,,,,,,,,,,,
48,PUNT2CAB,"Espiga 3/4x155x210 caps.1"" Poliamida",STOCK,REBAJA,0.507,1350,150,-10,150,160.0,1.0666666666666667,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,150,,"Espiga 3/4x155x210 caps.1"" PoliamidaREBAJA",0,160,,,,,,,,,,,,,
49,PF #2,"Espiga 3/4x155x210 caps.1"" Poliamida",STOCK,ESTRIA,0.507,2070,200,-13,200,213.0,1.065,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.8695652173913043,RM,0.0,,0.0,,0.0,,0.0,,0.0,6460,T,230,,"Espiga 3/4x155x210 caps.1"" PoliamidaESTRIA",0,213,,,,,,,,,,,,,
50,PUNT ARC,"Espiga 3/4x155x210 caps.1"" Poliamida",STOCK,PUNTEAR,0.507,2250,200,200,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,P,250,,"Espiga 3/4x155x210 caps.1"" PoliamidaPUNTEAR",200,0,,,,,,,,,,,,,
