Unnamed: 0,PRI,OT MAQUINA,PRODUCTO ETAPA,Unnamed: 4,OT,PRODUCTO,MAQUINA PRE,ESTAPA PRENSA,PROCESO,N° ETAPA,CANTIDAD,STD,SALDO,MAQUINA ASIG,Unnamed: 15,Unnamed: 16,Unnamed: 17
1,1.0,39223PRENSA FR - 01,"Barra Ojo 5/8x2,40mtrsESTAMPAR",11.0,39223.0,"Barra Ojo 5/8x2,40mtrs",PRENSA FR - 01,ESTAMPARPRENSA FR - 01,ESTAMPAR,1.0,15000.0,44.0,15000,,0,A,A11
2,,39223PRENSA EX - 13,"Barra Ojo 5/8x2,40mtrsREBABAR EXT",12.0,39223.0,"Barra Ojo 5/8x2,40mtrs",PRENSA EX - 13,REBABAR EXTPRENSA EX - 13,REBABAR EXT,2.0,15000.0,125.0,15000,,0,A,A12
3,,39223PRENSA FR - 03,"Barra Ojo 5/8x2,40mtrsREBABAR INT",13.0,39223.0,"Barra Ojo 5/8x2,40mtrs",PRENSA FR - 03,REBABAR INTPRENSA FR - 03,REBABAR INT,3.0,15000.0,125.0,15000,PRENSA FR - 03,0,A,A13
4,,39223PUNT PER,"Barra Ojo 5/8x2,40mtrsPUNTEAR",14.0,39223.0,"Barra Ojo 5/8x2,40mtrs",PUNT PER,PUNTEARPUNT PER,PUNTEAR,4.0,15000.0,205.0,15000,,0,A,A14
5,,39223TERR PER - 03,"Barra Ojo 5/8x2,40mtrsTERRAJAR",15.0,39223.0,"Barra Ojo 5/8x2,40mtrs",TERR PER - 03,TERRAJARTERR PER - 03,TERRAJAR,5.0,15000.0,79.0,15000,TERR PER - 03,0,A,A15
6,2.0,36542PRENSA FR - 01,Perno Ojo 5/8x9x5HESTAMPAR,21.0,36542.0,Perno Ojo 5/8x9x5H,PRENSA FR - 01,ESTAMPARPRENSA FR - 01,ESTAMPAR,1.0,5050.0,43.0,5050,,0,A,A21
7,,36542PRENSA EX - 15,Perno Ojo 5/8x9x5HREBABA EXT,22.0,36542.0,Perno Ojo 5/8x9x5H,PRENSA EX - 15,REBABA EXTPRENSA EX - 15,REBABA EXT,2.0,5050.0,200.0,5050,,0,A,A22
8,,36542PRENSA EX - 15,Perno Ojo 5/8x9x5HREBABA INT,23.0,36542.0,Perno Ojo 5/8x9x5H,PRENSA EX - 15,REBABA INTPRENSA EX - 15,REBABA INT,3.0,5050.0,200.0,5050,,0,A,A23
9,,36542PRENSA EX - 14,Perno Ojo 5/8x9x5HENDEREZAR,24.0,36542.0,Perno Ojo 5/8x9x5H,PRENSA EX - 14,ENDEREZARPRENSA EX - 14,ENDEREZAR,4.0,5050.0,200.0,5050,,0,A,A24
10,,36542PUNT PER,Perno Ojo 5/8x9x5HPUNTEAR,25.0,36542.0,Perno Ojo 5/8x9x5H,PUNT PER,PUNTEARPUNT PER,PUNTEAR,5.0,5050.0,75.0,5050,,0,A,A25
11,,36542TERR PER - 03,Perno Ojo 5/8x9x5HTERRAJAR,26.0,36542.0,Perno Ojo 5/8x9x5H,TERR PER - 03,TERRAJARTERR PER - 03,TERRAJAR,6.0,5050.0,60.0,5050,,T,A,A26
12,3.0,38562PRENSA FR - 01,Perno Ojo 5/8x9x5HESTAMPAR,31.0,38562.0,Perno Ojo 5/8x9x5H,PRENSA FR - 01,ESTAMPARPRENSA FR - 01,ESTAMPAR,1.0,4200.0,43.0,4200,,0,A,A31
13,,38562PRENSA EX - 15,Perno Ojo 5/8x9x5HREBABA EXT,32.0,38562.0,Perno Ojo 5/8x9x5H,PRENSA EX - 15,REBABA EXTPRENSA EX - 15,REBABA EXT,2.0,4200.0,200.0,4200,,0,A,A32
14,,38562PRENSA EX - 15,Perno Ojo 5/8x9x5HREBABA INT,33.0,38562.0,Perno Ojo 5/8x9x5H,PRENSA EX - 15,REBABA INTPRENSA EX - 15,REBABA INT,3.0,4200.0,200.0,4200,,0,A,A33
15,,38562PRENSA EX - 14,Perno Ojo 5/8x9x5HENDEREZAR,34.0,38562.0,Perno Ojo 5/8x9x5H,PRENSA EX - 14,ENDEREZARPRENSA EX - 14,ENDEREZAR,4.0,4200.0,200.0,4200,,0,A,A34
16,,38562PUNT PER,Perno Ojo 5/8x9x5HPUNTEAR,35.0,38562.0,Perno Ojo 5/8x9x5H,PUNT PER,PUNTEARPUNT PER,PUNTEAR,5.0,4200.0,75.0,4200,,0,A,A35
17,,38562TERR PER - 03,Perno Ojo 5/8x9x5HTERRAJAR,36.0,38562.0,Perno Ojo 5/8x9x5H,TERR PER - 03,TERRAJARTERR PER - 03,TERRAJAR,6.0,4200.0,60.0,4200,,T,A,A36
18,1.0,39148PRENSA FR - 04,"Grillete 12mm, ojo chico1° GOLPE",11.0,39148.0,"Grillete 12mm, ojo chico",PRENSA FR - 04,1° GOLPEPRENSA FR - 04,1° GOLPE,1.0,8000.0,171.0,8000,,0,D,D11
19,,39148PRENSA FR - 04,"Grillete 12mm, ojo chico2° GOLPE",12.0,39148.0,"Grillete 12mm, ojo chico",PRENSA FR - 04,2° GOLPEPRENSA FR - 04,2° GOLPE,2.0,8000.0,200.0,8000,,0,D,D12
20,,39148FAMAE - 02,"Grillete 12mm, ojo chicoREBABAR",13.0,39148.0,"Grillete 12mm, ojo chico",FAMAE - 02,REBABARFAMAE - 02,REBABAR,3.0,8000.0,240.0,8000,,0,D,D13
21,,39148PRENSA EX - 16,"Grillete 12mm, ojo chicoPERFORAR ",14.0,39148.0,"Grillete 12mm, ojo chico",PRENSA EX - 16,PERFORAR PRENSA EX - 16,PERFORAR ,4.0,8000.0,225.0,8000,,0,D,D14
22,,39148PRENSA FR - 05,"Grillete 12mm, ojo chicoFORJAR",15.0,39148.0,"Grillete 12mm, ojo chico",PRENSA FR - 05,FORJARPRENSA FR - 05,FORJAR,5.0,8000.0,175.0,8000,,T,D,D15
23,1.0,39250PRENSA FR - 06,"Espiga 3/4x126x274 caps.1"" PoliamidaESTAMPAR",11.0,39250.0,"Espiga 3/4x126x274 caps.1"" Poliamida",PRENSA FR - 06,ESTAMPARPRENSA FR - 06,ESTAMPAR,1.0,7500.0,96.0,7500,,0,F,F11
24,,39250FAMAE - 02,"Espiga 3/4x126x274 caps.1"" PoliamidaREBABAR",12.0,39250.0,"Espiga 3/4x126x274 caps.1"" Poliamida",FAMAE - 02,REBABARFAMAE - 02,REBABAR,2.0,7500.0,250.0,7500,,0,F,F12
25,,39250PUNT 2 CAB,"Espiga 3/4x126x274 caps.1"" PoliamidaREBAJAR",13.0,39250.0,"Espiga 3/4x126x274 caps.1"" Poliamida",PUNT 2 CAB,REBAJARPUNT 2 CAB,REBAJAR,3.0,7500.0,150.0,7500,,0,F,F13
26,,39250PRENSA FR - 11,"Espiga 3/4x126x274 caps.1"" PoliamidaESTRIAR",14.0,39250.0,"Espiga 3/4x126x274 caps.1"" Poliamida",PRENSA FR - 11,ESTRIARPRENSA FR - 11,ESTRIAR,4.0,7500.0,230.0,7500,,0,F,F14
27,,39250PUNT PER,"Espiga 3/4x126x274 caps.1"" PoliamidaPUNTEAR",15.0,39250.0,"Espiga 3/4x126x274 caps.1"" Poliamida",PUNT PER,PUNTEARPUNT PER,PUNTEAR,5.0,7500.0,140.0,7500,,0,F,F15
28,,39250TERR PER - 05,"Espiga 3/4x126x274 caps.1"" PoliamidaTERRAJAR",16.0,39250.0,"Espiga 3/4x126x274 caps.1"" Poliamida",TERR PER - 05,TERRAJARTERR PER - 05,TERRAJAR,6.0,7500.0,120.0,7500,,T,F,F16
29,1.0,38998PRENSA FR - 10,Eslabón Angular Estampado perf.18ESTAMPAR,11.0,38998.0,Eslabón Angular Estampado perf.18,PRENSA FR - 10,ESTAMPARPRENSA FR - 10,ESTAMPAR,1.0,3050.0,38.0,3050,,0,H,H11
30,,38998PRENSA EX - 11,Eslabón Angular Estampado perf.18REBABAR,12.0,38998.0,Eslabón Angular Estampado perf.18,PRENSA EX - 11,REBABARPRENSA EX - 11,REBABAR,2.0,3050.0,170.0,3050,,0,H,H12
31,,38998PRENSA EX - 15,Eslabón Angular Estampado perf.18PERFORAR18,13.0,38998.0,Eslabón Angular Estampado perf.18,PRENSA EX - 15,PERFORAR18PRENSA EX - 15,PERFORAR18,3.0,3050.0,160.0,3050,,0,H,H13
32,,38998PRENSA EX - 15,Eslabón Angular Estampado perf.18PERF OVALADA,14.0,38998.0,Eslabón Angular Estampado perf.18,PRENSA EX - 15,PERF OVALADAPRENSA EX - 15,PERF OVALADA,4.0,3050.0,160.0,3050,,0,H,H14
33,,38998PRENSA FR - 04,Eslabón Angular Estampado perf.18DOBLAR,15.0,38998.0,Eslabón Angular Estampado perf.18,PRENSA FR - 04,DOBLARPRENSA FR - 04,DOBLAR,5.0,3050.0,383.0,3050,,T,H,H15
34,1.0,37877PRENSA FR - 12,Perno Cuello Ret 5/8x45ESTAMPAR,11.0,37877.0,Perno Cuello Ret 5/8x45,PRENSA FR - 12,ESTAMPARPRENSA FR - 12,ESTAMPAR,1.0,12900.0,334.0,12900,,0,J,J11
35,,37877FAMAE - 02,Perno Cuello Ret 5/8x45REBABAR,12.0,37877.0,Perno Cuello Ret 5/8x45,FAMAE - 02,REBABARFAMAE - 02,REBABAR,2.0,12900.0,500.0,12900,,0,J,J12
36,,37877LAMIN ZURZOLO,Perno Cuello Ret 5/8x45LAMINAR,13.0,37877.0,Perno Cuello Ret 5/8x45,LAMIN ZURZOLO,LAMINARLAMIN ZURZOLO,LAMINAR,3.0,12900.0,450.0,12900,,0,J,J13
37,,37877TERR PER - 04,Perno Cuello Ret 5/8x45REPASAR,14.0,37877.0,Perno Cuello Ret 5/8x45,TERR PER - 04,REPASARTERR PER - 04,REPASAR,4.0,12900.0,223.0,12900,,T,J,J14
38,,,,,,,,,,,,,0,,,,
39,,,,,,,,,,,,,0,,,,
40,,,,,,,,,,,,,0,,,,
41,,,,,,,,,,,,,0,,,,
42,,,,,,,,,,,,,0,,,,
43,,,,,,,,,,,,,0,,,,
44,,,,,,,,,,,,,0,,,,
