Unnamed: 0,PRODUCTO,OT REFERENCIA,CODIGO,PESO,MATERIA PRIMA,PROCESO FINAL,PESO ARMADO ,FAMILIA,MAQUINA,ETAPA,STD,N° ETAPA
Pletina Curva p/Cruceta 50x5x300,Pletina Curva p/Cruceta 50x5x300,35795.0,9822900105-1,0.83,,,0.83,OTROS PRODUCTOS GV F,,,,
Pletina Curva 38x5x100mm,Pletina Curva 38x5x100mm,36866.0,9822905215-2,0.16,,,0.16,OTROS PRODUCTOS GV F,,,,
Pletina c/Ova p/Sop Secc Fusible 60x6x360mm,Pletina c/Ova p/Sop Secc Fusible 60x6x360mm,36123.0,6000100062-7,1.017,,,1.017,OTROS PRODUCTOS GV F,,,,
Pletina Elemento Montaje Cruc.Madera ( L ),Pletina Elemento Montaje Cruc.Madera ( L ),34584.0,9821800010-K,0.72,,,0.72,OTROS PRODUCTOS GV F,,,,
Pletina Elemento Montaje Cruc.Metálica( Z ),Pletina Elemento Montaje Cruc.Metálica( Z ),34587.0,9821800030-4,0.693,,,0.693,OTROS PRODUCTOS GV F,,,,
Pletina L p/Elemento Montaje 38x6x205x86,Pletina L p/Elemento Montaje 38x6x205x86,34713.0,9821800040-1,0.8512,,,0.8512,OTROS PRODUCTOS GV F,,,,
Pletina p/Ext. Metalica 1.60Mts  50x6x175,Pletina p/Ext. Metalica 1.60Mts  50x6x175,35333.0,9822900130-2,0.412,,,0.412,OTROS PRODUCTOS GV F,,,,
Pletina p/Ext. Metalica 178x182x5x200,Pletina p/Ext. Metalica 178x182x5x200,35339.0,9822900120-5,2.7,,,2.7,OTROS PRODUCTOS GV F,,,,
Pletina p/Ext. Metalica 50x5x197mm,Pletina p/Ext. Metalica 50x5x197mm,38252.0,9822900060-8,0.38,,,0.38,OTROS PRODUCTOS GV F,,,,
Pletina p/Ext. Metalica 50x5x218mm,Pletina p/Ext. Metalica 50x5x218mm,38253.0,9822900090-K,0.426,,,0.426,OTROS PRODUCTOS GV F,,,,
Pletina p/Ext. Metalica 50x5x244mm,Pletina p/Ext. Metalica 50x5x244mm,38254.0,9822900100-0,0.481,,,0.481,OTROS PRODUCTOS GV F,,,,
Pletina p/Perno J 50x8x150,Pletina p/Perno J 50x8x150,34396.0,9822908200-0,0.464,,,0.464,OTROS PRODUCTOS GV F,,,,
Pletina p/Soporte Secc Fusible 40x4x395mm,Pletina p/Soporte Secc Fusible 40x4x395mm,36122.0,6000100061-9,0.496,,,0.496,OTROS PRODUCTOS GV F,,,,
Pletina p/Soporte Secc Fusible 32x3x130mm,Pletina p/Soporte Secc Fusible 32x3x130mm,36124.0,6000100063-5,0.098,,,0.098,OTROS PRODUCTOS GV F,,,,
Pletina p/Soporte Cruceta 60x6x75mm,Pletina p/Soporte Cruceta 60x6x75mm,35200.0,6000100016-3,0.2,,,0.2,OTROS PRODUCTOS GV F,,,,
Pletina Refuerzo 38x10x63,Pletina Refuerzo 38x10x63,34785.0,9822904102-9,0.174,,,0.174,OTROS PRODUCTOS GV F,,,,
Pletina p/Soldar 140x6x140,Pletina p/Soldar 140x6x140,35766.0,9822906302-2,0.705,,,0.705,OTROS PRODUCTOS GV F,,,,
Pletina p/Soldar 115x4x115,Pletina p/Soldar 115x4x115,35767.0,9822904105-3,0.452,,,0.452,OTROS PRODUCTOS GV F,,,,
Pletina 50x6x110 p/Brazo L 23kV,Pletina 50x6x110 p/Brazo L 23kV,32144.0,9821950020-3,0.2596,,,0.2596,OTROS PRODUCTOS GV F,,,,
Pletina 50x5x215mm,Pletina 50x5x215mm,36337.0,9822908180-2,0.43,,,0.43,OTROS PRODUCTOS GV F,,,,
Pletina Unión 10x100x195mm,Pletina Unión 10x100x195mm,35148.0,9822910195-1,1.345,,,1.345,OTROS PRODUCTOS GV F,,,,
Pletina Unión 12x76x400,Pletina Unión 12x76x400,35050.0,9822912110-3,3.1,,,3.1,OTROS PRODUCTOS GV F,,,,
Pletina Unión 120x10x524,Pletina Unión 120x10x524,34789.0,9822910210-9,5.38,,,5.38,OTROS PRODUCTOS GV F,,,,
Pletina Unión 120x6x305,Pletina Unión 120x6x305,34615.0,9822906205-0,1.79,,,1.79,OTROS PRODUCTOS GV F,,,,
Pletina Unión 120x6x335,Pletina Unión 120x6x335,35028.0,9822906210-7,1.862,,,1.862,OTROS PRODUCTOS GV F,,,,
Pletina Unión 120x6x344,Pletina Unión 120x6x344,35368.0,9822906215-8,1.9,,,1.9,OTROS PRODUCTOS GV F,,,,
Pletina Unión 120x8x640,Pletina Unión 120x8x640,35642.0,9822908151-9,5.1,,,5.1,OTROS PRODUCTOS GV F,,,,
Pletina Unión 60x6x150 s/perforación,Pletina Unión 60x6x150 s/perforación,34493.0,9822906153-4,0.508,,,0.508,OTROS PRODUCTOS GV F,,,,
Pletina Unión 76x6x400,Pletina Unión 76x6x400,35304.0,9822906185-2,1.53,,,1.53,OTROS PRODUCTOS GV F,,,,
Pletina Unión 76x6x295,Pletina Unión 76x6x295,35030.0,9822906160-7,0.98,,,0.98,OTROS PRODUCTOS GV F,,,,
Porta Viga C 100x40x6x496,Porta Viga C 100x40x6x496,38227.0,A321210100-0,3.7,,,3.7,OTROS PRODUCTOS GV F,,,,
Porta Viga W 125x60x5x500,Porta Viga W 125x60x5x500,36305.0,A321230100-K,4.533,,,4.533,OTROS PRODUCTOS GV F,,,,
Poste Soporte 100x100x5x1795,Poste Soporte 100x100x5x1795,35224.0,A800290102-8,37.798,100x100x5,,37.798,OTROS PRODUCTOS GV F,,,,
Poste Soporte 100x100x5x2000,Poste Soporte 100x100x5x2000,35223.0,A822290100-6,45.358,100x100x5,,45.358,OTROS PRODUCTOS GV F,,,,
Prensa Paralella p/Tir perf. redonda,Prensa Paralella p/Tir perf. redonda,34118.0,A402200035-2,0.475,,,0.475,OTROS PRODUCTOS GV F,,,,
Prensa Paralella p/Tir perf. Cuadrada,Prensa Paralella p/Tir perf. Cuadrada,34119.0,A402200030-1,0.465,,,0.465,OTROS PRODUCTOS GV F,,,,
Regleta p/Suspensión de Cable,Regleta p/Suspensión de Cable,34681.0,9821710100-K,1.16,,,1.16,OTROS PRODUCTOS GV F,,,,
Rejilla Lateral 980x130,Rejilla Lateral 980x130,34597.0,9821910203-8,10.5,,,10.5,OTROS PRODUCTOS GV F,,,,
Rejilla Rectangular Empotrada 500x1000,Rejilla Rectangular Empotrada 500x1000,34643.0,9821910207-0,62.0,,,62.0,OTROS PRODUCTOS GV F,,,,
Rejilla Rectangular Empotrada 700x800,Rejilla Rectangular Empotrada 700x800,34641.0,9821910201-1,70.4,,,70.4,OTROS PRODUCTOS GV F,,,,
Rejilla Rectangular Empotrada 740x990,Rejilla Rectangular Empotrada 740x990,34642.0,9821910206-2,86.6,,,86.6,OTROS PRODUCTOS GV F,,,,
Rejilla Rectangular Empotrada 980x410,Rejilla Rectangular Empotrada 980x410,34640.0,9821910202-K,51.4,,,51.4,OTROS PRODUCTOS GV F,,,,
Remache Cte 3/4x70,Remache Cte 3/4x70,34946.0,5020024570-6,0.227,,,0.227,OTROS PRODUCTOS NG C,,,,
Separador p/Espiga Punta Poste,Separador p/Espiga Punta Poste,35748.0,9822810160-5,0.575,,,0.575,OTROS PRODUCTOS GV C,,,,
Separador P/Elemento Montaje Desc.Fus.,Separador P/Elemento Montaje Desc.Fus.,34355.0,9822810140-0,1.28,,,1.28,OTROS PRODUCTOS GV F,,,,
Separador p/Soporte de 5 vías,Separador p/Soporte de 5 vías,34596.0,9822810120-6,6.0,,,6.0,OTROS PRODUCTOS GV F,,,,
Soporte Caja Empalme,Soporte Caja Empalme,35236.0,A800210017-8,1.02,,,1.02,OTROS PRODUCTOS GV F,,,,
Soporte 1 Via p/Alumbrado Público,Soporte 1 Via p/Alumbrado Público,34944.0,A800260040-5,0.128,,,0.128,OTROS SOPORTES GV F,,,,
Soporte 2 Vías p/Empalme,Soporte 2 Vías p/Empalme,35667.0,A800200165-K,0.27,,,0.27,OTROS SOPORTES GV F,,,,
Soporte 2 Vías p/Empalme s/Pasador,Soporte 2 Vías p/Empalme s/Pasador,37602.0,A800200168-4,0.283,,,0.283,OTROS SOPORTES GV F,,,,
Soporte Cruceta Plana 190x6x200,Soporte Cruceta Plana 190x6x200,34650.0,A800228030-3,2.1,,,2.1,OTROS SOPORTES GV F,,,,
Soporte de Anclaje Pilar Tipo A 40x40x5x900,Soporte de Anclaje Pilar Tipo A 40x40x5x900,34796.0,A800290040-5,2.66,,,2.66,OTROS SOPORTES GV F,,,,
Soporte de Anclaje Pilar Tipo E 40x40x5x900,Soporte de Anclaje Pilar Tipo E 40x40x5x900,34799.0,A800290070-3,2.66,,,2.66,OTROS SOPORTES GV F,,,,
Soporte de Ductos Tipo A 40x40x5x700,Soporte de Ductos Tipo A 40x40x5x700,34795.0,A800290030-2,2.07,,,2.07,OTROS SOPORTES GV F,,,,
Soporte de Ductos Tipo E 40x40x5x700,Soporte de Ductos Tipo E 40x40x5x700,34798.0,A800290060-0,2.07,,,2.07,OTROS SOPORTES GV F,,,,
Soporte de Escalerilla Tipo A 40x40x5x700,Soporte de Escalerilla Tipo A 40x40x5x700,34794.0,A800290020-K,2.07,,,2.07,OTROS SOPORTES GV F,,,,
Soporte de Escalerilla Tipo E 40x40x5x700,Soporte de Escalerilla Tipo E 40x40x5x700,34797.0,A800290050-8,2.07,,,2.07,OTROS SOPORTES GV F,,,,
Soporte Met. Montaje Seccionador,Soporte Met. Montaje Seccionador,36125.0,A800210113-1,2.8,,,2.8,OTROS SOPORTES GV F,,,,
Soporte L 50x50x5x50,Soporte L 50x50x5x50,34905.0,A800210084-4,0.188,,,0.188,OTROS SOPORTES GV F,,,,
Soporte p/Abrazadera 50x8x234 ( T ),Soporte p/Abrazadera 50x8x234 ( T ),34837.0,A800200310-5,1.032,,,1.032,OTROS SOPORTES GV F,,,,
Soporte p/Empalme Mono ,Soporte p/Empalme Mono ,35678.0,A800225020-K,0.48,,,0.48,OTROS SOPORTES GV F,,,,
Soporte p/Red BT/Empalme 65x65x5x50,Soporte p/Red BT/Empalme 65x65x5x50,34931.0,A800225035-8,0.25,,,0.25,OTROS SOPORTES GV F,,,,
Soporte p/Montaje secc fusible 630A  500V,Soporte p/Montaje secc fusible 630A  500V,36121.0,A800210106-9,2.8,,,2.8,OTROS SOPORTES GV F,,,,
Soporte de Paso 8 Aletas,Soporte de Paso 8 Aletas,35028.0,A800200105-6,3.02,,,3.02,SOPORTES DE PASO GV F,,,,
Soporte de Paso en un Plano 735x500x5x70mm,Soporte de Paso en un Plano 735x500x5x70mm,36000.0,A800210101-8,10.51,,,10.51,SOPORTES DE PASO GV F,,,,
Soporte de Paso en un Plano 940x590x700mm,Soporte de Paso en un Plano 940x590x700mm,34947.0,A800210103-4,17.7,,,17.7,SOPORTES DE PASO GV F,,,,
Soporte Paso 5/8x321,Soporte Paso 5/8x321,35605.0,A800200200-1,0.53446,,,0.53446,SOPORTES DE PASO GV C,,,,
Soporte Paso 5/8x378,Soporte Paso 5/8x378,34613.0,A800200250-8,0.647,,,0.647,SOPORTES DE PASO GV C,,,,
Soporte Paso 5/8x416,Soporte Paso 5/8x416,34793.0,A800200270-2,0.684,,,0.684,SOPORTES DE PASO GV C,,,,
Soporte de Paso c/Angulo 605x490x395mm,Soporte de Paso c/Angulo 605x490x395mm,36355.0,A800210077-1,14.0,,,14.0,SOPORTES DE PASO GV F,,,,
Soporte Paso 1/2x320,Soporte Paso 1/2x320,35120.0,A800200020-3,0.36,,,0.36,SOPORTES DE PASO GV C,,,,
Soporte Paso 1/2x320x75H,Soporte Paso 1/2x320x75H,37601.0,A801200020-1,0.339,,,0.339,SOPORTES DE PASO GV C,,,,
Soporte Paso 1/2x378,Soporte Paso 1/2x378,35243.0,A801200023-6,0.4,,,0.4,SOPORTES DE PASO GV C,,,,
Soporte Paso 1/2x378x75H,Soporte Paso 1/2x378x75H,38231.0,A800200023-8,0.401,,,0.401,SOPORTES DE PASO GV C,,,,
Soporte Paso 1/2x415 BSW,Soporte Paso 1/2x415 BSW,38230.0,A800200035-1,0.44,,,0.44,SOPORTES DE PASO GV C,,,,
Soporte Paso 1/2x415,Soporte Paso 1/2x415,36120.0,A800200025-4,0.44,,,0.44,SOPORTES DE PASO GV C,,,,
Soporte Paso 1/2x415 c/Perf Hilo,Soporte Paso 1/2x415 c/Perf Hilo,37637.0,A800200040-9,0.38,,,0.38,SOPORTES DE PASO GV C,,,,
Soporte Paso Soldado 1/2x317,Soporte Paso Soldado 1/2x317,34924.0,A800200155-2,0.38,,,0.38,SOPORTES DE PASO GV F,,,,
Soporte Paso Soldado 1/2x374,Soporte Paso Soldado 1/2x374,34960.0,A800200158-7,0.435,,,0.435,SOPORTES DE PASO GV F,,,,
Soporte Paso Soldado 1/2x437,Soporte Paso Soldado 1/2x437,34961.0,A800200160-9,0.497,,,0.497,SOPORTES DE PASO GV F,,,,
Soporte Racks 6 aletas,Soporte Racks 6 aletas,34723.0,A800200090-4,2.2,,,2.2,OTROS SOPORTES GV F,,,,
Soporte Racks 8 aletas,Soporte Racks 8 aletas,36555.0,A800200095-5,2.69,,,2.69,OTROS SOPORTES GV F,,,,
Soporte Racks 10 aletas,Soporte Racks 10 aletas,35616.0,A800200100-5,4.0,,,4.0,OTROS SOPORTES GV F,,,,
Soporte Remate Liviano,Soporte Remate Liviano,34828.0,A800200050-5,0.26,,,0.26,SOPORTES REMATE,,,,
Soporte Remate Mediano-14,Soporte Remate Mediano-14,34544.0,A800200055-6,0.3,,,0.3,SOPORTES REMATE,,,,
Soporte Remate Pesado,Soporte Remate Pesado,34680.0,A800200065-3,0.465,,,0.465,SOPORTES REMATE,,,,
Soporte Secc. Tripolar APR-160,Soporte Secc. Tripolar APR-160,36857.0,A800210083-6,1.04,,,1.04,OTROS SOPORTES GV C,,,,
Soporte Susp. p/Cable Preensamblado,Soporte Susp. p/Cable Preensamblado,34805.0,A800210115-8,0.34,,,0.34,OTROS SOPORTES GV F,,,,
Soporte Tipo L 220x150x10 c/golilla,Soporte Tipo L 220x150x10 c/golilla,34750.0,A800210083-6,1.04,,,1.04,OTROS SOPORTES GV C,,,,
Soporte Tipo L 38x6x100x50,Soporte Tipo L 38x6x100x50,34702.0,A800210080-1,0.237,,,0.237,OTROS SOPORTES GV F,,,,
Soporte Tipo L p/Acometida,Soporte Tipo L p/Acometida,34821.0,A800210065-8,0.446,,,0.446,OTROS SOPORTES GV F,,,,
Soporte Trapecio Costanera 40x40x3x1200,Soporte Trapecio Costanera 40x40x3x1200,34801.0,A800290090-9,2.18,,,2.18,OTROS SOPORTES GV F,,,,
Soporte Trapecio Muro 40x40x3x1800,Soporte Trapecio Muro 40x40x3x1800,34800.0,A800290080-6,3.28,,,3.28,OTROS SOPORTES GV F,,,,
Soporte Vertical 80x35x5x920mm,Soporte Vertical 80x35x5x920mm,35932.0,A800210100-K,5.18,,,5.18,OTROS SOPORTES GV C,,,,
Taco de Madera 80x60x120,Taco de Madera 80x60x120,34781.0,6000100010-4,0.243,,,0.243,FIJACIONES ,,,,
Tapa Cámara 900 x 850,Tapa Cámara 900 x 850,34628.0,9821910204-6,25.3,,,25.3,OTROS PRODUCTOS GV F,,,,
Tarra Chica p/Acopio 800x400x900,Tarra Chica p/Acopio 800x400x900,35342.0,6699099090-6,36.3,,,36.3,OTROS PRODUCTOS NG F,,,,
Tarra Grande p/Acopio 800x650x900,Tarra Grande p/Acopio 800x650x900,35341.0,6699099080-9,45.76,,,45.76,OTROS PRODUCTOS NG F,,,,
"Tirafondo N°1, 7/8x125","Tirafondo N°1, 7/8x125",35114.0,3824028125-K,0.552,,,0.552,TIRAFONDOS RIELEROS NG C,,,,
Tirafondo riel 7/8x132,Tirafondo riel 7/8x132,35661.0,3824028205-1,0.444,,,0.444,TIRAFONDOS RIELEROS NG C,,,,
Tirafondo riel 7/8x194 GV,Tirafondo riel 7/8x194 GV,35729.0,3824228194-K,0.62,,,0.62,TIRAFONDOS RIELEROS GV C,,,,
"Tirafondo N°2, 7/8x145","Tirafondo N°2, 7/8x145",35562.0,3824028175-6,0.63,,,0.63,TIRAFONDOS RIELEROS NG C,,,,
"Tirafondo Nº2, 7/8x149","Tirafondo Nº2, 7/8x149",34409.0,3824028180-2,0.552,,,0.552,TIRAFONDOS RIELEROS NG C,,,,
"Tirafondo Nº5, 7/8x150","Tirafondo Nº5, 7/8x150",34892.0,3824028200-0,0.555,,,0.555,TIRAFONDOS RIELEROS NG C,,,,
Tirafondo p/Panel 7/8x225,Tirafondo p/Panel 7/8x225,34663.0,3824028220-5,0.73,,,0.73,TIRAFONDOS RIELEROS NG C,,,,
Tirafondo p/Panel 7/8x270,Tirafondo p/Panel 7/8x270,34488.0,3824028240-K,0.88,,,0.88,TIRAFONDOS RIELEROS NG C,,,,
Tirafondo riel Especial M23x142,Tirafondo riel Especial M23x142,37885.0,3824023142-2,0.528,,,0.528,TIRAFONDOS RIELEROS NG C,,,,
"Tirafondo riel M21x111,5 GV","Tirafondo riel M21x111,5 GV",34627.0,3824221110-0,0.45,,,0.45,TIRAFONDOS RIELEROS GV C,,,,
Tirafondo riel M21x110 NG,Tirafondo riel M21x110 NG,34626.0,3824021110-3,0.426,,,0.426,TIRAFONDOS RIELEROS NG C,,,,
"Tirafondo riel M21x111,5 NG","Tirafondo riel M21x111,5 NG",35168.0,3824021511-7,0.426,1020 7/8,,0.426,TIRAFONDOS RIELEROS NG C,,,,
"Tirafondo riel M21x113,35 GV","Tirafondo riel M21x113,35 GV",35701.0,3824221113-5,0.479,,,0.479,TIRAFONDOS RIELEROS GV C,,,,
Tirafondo riel M21x125,Tirafondo riel M21x125,38060.0,3824021515-K,0.465,,,0.465,TIRAFONDOS RIELEROS NG C,,,,
Tirante 3/4x7',Tirante 3/4x7',34995.0,8321200200-6,5.4,,,5.4,TIRANTES GV F,,,,
"Tirante 39""  Galv.","Tirante 39""  Galv.",35877.0,8321220140-8,2.413,,,2.413,TIRANTES GV F,,,,
"Tirante 39""  Azul/Rojo","Tirante 39""  Azul/Rojo",35057.0,8321250142-8,2.413,,,2.413,TIRANTES GV F,,,,
Tuerca c/Inserto 1.1/2,Tuerca c/Inserto 1.1/2,35217.0,3461048000-6,0.755,,,0.755,TUERCAS TRE NG C,,,,
"Tuerca c/Inserto 2""","Tuerca c/Inserto 2""",33323.0,3461064000-3,1.6,,,1.6,TUERCAS TRE NG C,,,,
Tuerca Cuad Ref 1/2,Tuerca Cuad Ref 1/2,34539.0,3323216000-K,0.0357,,,0.0357,TUERCAS GV C,,,,
Tuerca Cuad Ref 1/2 Rebajada,Tuerca Cuad Ref 1/2 Rebajada,36943.0,3321216000-3,0.036,,,0.036,TUERCAS GV C,,,,
Tuerca Cuad Ref 5/8,Tuerca Cuad Ref 5/8,34917.0,3321220000-5,0.064,,,0.064,TUERCAS GV C,,,,
Tuerca Cuad Ref 7/8 NG,Tuerca Cuad Ref 7/8 NG,36081.0,3321028000-1,0.1642,,,0.1642,TUERCAS NG C,,,,
Tuerca Cuad Ref Especial 7/8,Tuerca Cuad Ref Especial 7/8,34934.0,6321028000-8,0.19,,,0.19,TUERCAS GV C,,,,
Tuerca Hex 3/4 Bulldog,Tuerca Hex 3/4 Bulldog,34095.0,6321524000-4,0.105,,,0.105,TUERCAS NG C,,,,
"Tuerca Hex Bulldog 1""","Tuerca Hex Bulldog 1""",34970.0,6321532000-8,0.23,,,0.23,TUERCAS NG C,,,,
"Tuerca Hex Bulldog 3/4""","Tuerca Hex Bulldog 3/4""",34645.0,6321524000-4,0.105,,,0.105,TUERCAS NG C,,,,
"Tuerca Hex Bulldog 7/8""","Tuerca Hex Bulldog 7/8""",34397.0,6321528000-6,0.155,,,0.155,TUERCAS NG C,,,,
"Tuerca Hex Bulldog 1.1/8""","Tuerca Hex Bulldog 1.1/8""",35360.0,6331536000-7,0.334,,,0.334,TUERCAS NG C,,,,
Tuerca Hex Cte 1/2  BSW,Tuerca Hex Cte 1/2  BSW,35287.0,3023216000-0,0.018,1020 1/2,,0.018,TUERCAS GV C,,,,
Tuerca Hex Cte 5/8  BSW,Tuerca Hex Cte 5/8  BSW,35619.0,3023220000-2,0.034,,,0.034,TUERCAS GV C,,,,
Tuerca Hex Cte 1  BSW,Tuerca Hex Cte 1  BSW,38111.0,3023232000-8,0.13,,,0.13,TUERCAS GV C,,,,
Tuerca Hex Cte 1/2  UNC,Tuerca Hex Cte 1/2  UNC,33167.0,3021216000-4,0.018,1020 1/2,,0.018,TUERCAS GV C,,,,
Tuerca Hex Cte M16 ,Tuerca Hex Cte M16 ,35041.0,3024216000-9,0.03434,,,0.03434,TUERCAS GV C,,,,
Tuerca Hex Cte G-2 7/8 UNC,Tuerca Hex Cte G-2 7/8 UNC,35469.0,3021228000-K,0.087,,,0.087,TUERCAS GV C,,,,
"Tuerca Hex Ref 3/4""","Tuerca Hex Ref 3/4""",35625.0,3121024000-7,0.0875,,,0.0875,TUERCAS NG C,,,,
"Tuerca Hex Ref 1""","Tuerca Hex Ref 1""",34548.0,3121032000-0,0.1928,,,0.1928,TUERCAS NG C,,,,
"Tuerca Hex Ref 7/8""","Tuerca Hex Ref 7/8""",34549.0,3121028000-9,0.134,,,0.134,TUERCAS NG C,,,,
"Tuerca Hex Ref 7/8"" Zn","Tuerca Hex Ref 7/8"" Zn",35323.0,3321328000-2,0.1736,,,0.1736,TUERCAS NG C,,,,
"Tuerca Hex Ref TRE 2""","Tuerca Hex Ref TRE 2""",35709.0,34C2064000-2,1.438,,,1.438,TUERCAS TRE NG C,,,,
Tuerca Hex Ref  G-2  Inditecnor 7/8,Tuerca Hex Ref  G-2  Inditecnor 7/8,35263.0,3421328100-5,0.135,,,0.135,TUERCAS NG C,,,,
"Tuerca Hex Ref  G-2  1"" c/Perf.","Tuerca Hex Ref  G-2  1"" c/Perf.",35488.0,3421332100-7,0.19,,,0.19,TUERCAS NG C,,,,
Tuerca Hex Ref G-3  M18,Tuerca Hex Ref G-3  M18,34556.0,3434118000-9,0.125,,,0.125,TUERCAS NG C,,,,
Tuerca Ojo 1/2,Tuerca Ojo 1/2,33918.0,9023716000-1,0.3,,,0.3,TUERCAS OJO GV C,,,,
Tuerca Ojo 5/8,Tuerca Ojo 5/8,34816.0,9023720010-0,0.304,,,0.304,TUERCAS OJO GV C,,,,
Tuerca Ojo 3/4,Tuerca Ojo 3/4,36045.0,9023724000-5,0.317,,,0.317,TUERCAS OJO GV C,,,,
Viga Porta Transf. C 100x40x6x2320,Viga Porta Transf. C 100x40x6x2320,34487.0,A321010100-3,17.736,,,17.736,OTROS PRODUCTOS GV F,,,,
Viga Porta Transf. U 125x60x5x2320,Viga Porta Transf. U 125x60x5x2320,37259.0,A321020100-8,22.32,,,22.32,OTROS PRODUCTOS GV F,,,,
Viga Porta Transf. C 100x40x6x2350,Viga Porta Transf. C 100x40x6x2350,34234.0,A321010120-8,18.0,,,18.0,OTROS PRODUCTOS GV F,,,,
Vigueta Afianza L 50x50x6x600,Vigueta Afianza L 50x50x6x600,35886.0,A321420100-2,2.7,,,2.7,VIGUETAS GV F,,,,
Vigueta Afianza L 65x65x5x690,Vigueta Afianza L 65x65x5x690,35013.0,A321420105-3,3.4,,,3.4,VIGUETAS GV F,,,,
Vigueta Afianza L 65x65x8x630,Vigueta Afianza L 65x65x8x630,34943.0,A321420120-7,4.5,,,4.5,VIGUETAS GV F,,,,
Vigueta C 150x50x6x900mm,Vigueta C 150x50x6x900mm,35884.0,A321410082-6,10.448,,,10.448,VIGUETAS GV F,,,,
Vigueta C Doble 150x50x5x6000mm,Vigueta C Doble 150x50x5x6000mm,35921.0,A321410084-8,120.0,,,120.0,VIGUETAS GV F,,,,
Vigueta C tipo 1 125x50x5x6600mm,Vigueta C tipo 1 125x50x5x6600mm,36918.0,A321410090-K,57.85,,,57.85,VIGUETAS GV F,,,,
Vigueta C tipo 2 125x50x5x6600mm,Vigueta C tipo 2 125x50x5x6600mm,36919.0,A321410095-3,57.85,,,57.85,VIGUETAS GV F,,,,
Vigueta Canal C 34x34x3x480mm,Vigueta Canal C 34x34x3x480mm,34748.0,A321400225-5,1.086,,,1.086,VIGUETAS GV F,,,,
Vigueta PortaViga C 100x40x6x480,Vigueta PortaViga C 100x40x6x480,34593.0,A321410100-8,3.57,,,3.57,VIGUETAS GV F,,,,
Vigueta Canal C 150x5x50x740,Vigueta Canal C 150x5x50x740,35765.0,A321410093-1,5.61,,,5.61,VIGUETAS GV F,,,,
Vigueta Tipo Z 40x30x4x480mm,Vigueta Tipo Z 40x30x4x480mm,34749.0,A321400229-8,1.6,,,1.6,VIGUETAS GV F,,,,
